instance_id,method,source,capacity_max,runtime_med,best_overall_capacity,gap_pct_min
knapsack_n500_seed20251122,QuantumAnnealing,quantum,59645.0,31.394011599943042,87393.0,31.750826725252594
knapsack_n500_seed20251125,Greedy_Ratio,classical,168628.0,0.0002649999223649502,168628.0,0.0
knapsack_n500_seed20251125,ParticleSwarmOptimization,classical,168492.0,1.834530399995856,168628.0,0.08065090020637142
knapsack_n500_seed20251125,AntColonyOptimization,classical,162752.0,15.424436799949035,168628.0,3.484593305975283
knapsack_n500_seed20251125,GeneticAlgorithm,classical,158212.0,1.1339149000123143,168628.0,6.176910121687976
knapsack_n500_seed20251125,Greedy_Value,classical,156358.0,0.0002090999623760581,168628.0,7.276371658324833
knapsack_n500_seed20251125,Greedy_Weight,classical,155049.0,0.00022010004613548517,168628.0,8.052636572811158
knapsack_n500_seed20251125,QuantumAnnealing,quantum,130349.0,28.369209700031206,168628.0,22.700263301468322
knapsack_n500_seed20251128,Greedy_Ratio,classical,226674.0,0.000273600104264915,226674.0,0.0
knapsack_n500_seed20251128,ParticleSwarmOptimization,classical,226674.0,1.7692784999962896,226674.0,0.0
knapsack_n500_seed20251128,Greedy_Value,classical,223504.0,0.00021730002481490374,226674.0,1.3984841666887249
knapsack_n500_seed20251128,AntColonyOptimization,classical,222972.0,15.192442399915308,226674.0,1.633182455861722
knapsack_n500_seed20251128,Greedy_Weight,classical,215605.0,0.00021140009630471468,226674.0,4.883224366270503
knapsack_n500_seed20251128,QuantumAnnealing,quantum,198168.0,28.10801139997784,226674.0,12.575769607453877
knapsack_n500_seed20251128,GeneticAlgorithm,classical,193941.0,0.8886484999675304,226674.0,14.440562217104741
knapsack_n500_seed20251222,Greedy_Ratio,classical,7097.0,0.00025269994512200356,7097.0,0.0
knapsack_n500_seed20251222,ParticleSwarmOptimization,classical,7097.0,1.7607775999931619,7097.0,0.0
knapsack_n500_seed20251222,AntColonyOptimization,classical,7092.0,15.468950600014068,7097.0,0.07045230379033394
knapsack_n500_seed20251222,GeneticAlgorithm,classical,6806.0,1.1379397999262437,7097.0,4.100324080597435
knapsack_n500_seed20251222,Greedy_Weight,classical,6683.0,0.00018370000179857016,7097.0,5.833450753839651
knapsack_n500_seed20251222,Greedy_Value,classical,6458.0,0.00017879996448755264,7097.0,9.003804424404677
knapsack_n500_seed20251222,QuantumAnnealing,quantum,5886.0,51.88775880006142,7097.0,17.06354797801888
knapsack_n500_seed20251225,AntColonyOptimization,classical,7252.0,15.342455399921164,7252.0,0.0
knapsack_n500_seed20251225,Greedy_Ratio,classical,7252.0,0.0003524000057950616,7252.0,0.0
knapsack_n500_seed20251225,ParticleSwarmOptimization,classical,7248.0,1.7108550999546424,7252.0,0.05515719801434087
knapsack_n500_seed20251225,Greedy_Weight,classical,7199.0,0.00018859992269426584,7252.0,0.7308328736900165
knapsack_n500_seed20251225,GeneticAlgorithm,classical,6864.0,0.9101682000327855,7252.0,5.350248207391065
knapsack_n500_seed20251225,Greedy_Value,classical,6561.0,0.000839899992570281,7252.0,9.528405956977386
knapsack_n500_seed20251225,QuantumAnnealing,quantum,5471.0,50.870948199997656,7252.0,24.558742415885273
knapsack_n500_seed20251228,AntColonyOptimization,classical,7445.0,15.303071100031957,7445.0,0.0
knapsack_n500_seed20251228,Greedy_Ratio,classical,7445.0,0.00026760005857795477,7445.0,0.0
knapsack_n500_seed20251228,ParticleSwarmOptimization,classical,7445.0,1.709683799999766,7445.0,0.0
knapsack_n500_seed20251228,Greedy_Value,classical,7391.0,0.00020150002092123032,7445.0,0.7253190060443251
knapsack_n500_seed20251228,Greedy_Weight,classical,7369.0,0.00018759991507977247,7445.0,1.0208193418401612
knapsack_n500_seed20251228,GeneticAlgorithm,classical,6895.0,0.7789431000128388,7445.0,7.387508394895903
knapsack_n500_seed20251228,QuantumAnnealing,quantum,6253.0,52.47625519998837,7445.0,16.010745466756212
